iteration NAG_barzilai-borwein_time_X NAG_barzilai-borwein_time_Y NAG_barzilai-borwein_objective_X NAG_barzilai-borwein_objective_Y NAG_barzilai-borwein_hpwl_X NAG_barzilai-borwein_hpwl_Y NAG_barzilai-borwein_euclidean_norm_X NAG_barzilai-borwein_euclidean_norm_Y
122 324.0 322.90000000000003 3.27695 0.83483 3.98622 1.50989 0.004047575 0.0035387749999999996
123 326.6 325.5 3.27579 0.83391 3.98865 1.51283 0.004025855 0.0035183925
124 329.2 328.2 3.27464 0.83299 3.99106 1.5158 0.004003552499999999 0.00350004
125 331.8 330.8 3.27349 0.83207 3.99346 1.51872 0.0039806225 0.0034877750000000003
126 334.40000000000003 333.5 3.27235 0.83115 3.99585 1.52166 0.0039570824999999995 0.0034776825
127 337.0 336.2 3.27121 0.83024 3.99823 1.52454 0.0039330549999999995 0.00346352
128 339.5 338.90000000000003 3.27008 0.82932 4.00059 1.52745 0.0039087325000000004 0.00344657
129 342.2 341.7 3.26896 0.82841 4.00295 1.5303 0.003884325 0.00343218
130 344.8 344.3 3.26784 0.8275 4.00529 1.53317 0.0038599775 0.00342136
131 347.3 347.0 3.26672 0.8266 4.00763 1.53599 0.0038358075 0.003410355
132 350.0 349.7 3.26561 0.82569 4.00995 1.53884 0.003811885 0.0033962925
133 352.5 352.3 3.26451 0.82479 4.01228 1.54162 0.0037882575 0.0033814375
134 355.1 354.90000000000003 3.26342 0.82389 4.01458 1.54443 0.003764935 0.0033688175
135 357.7 357.5 3.26233 0.82298 4.01687 1.54718 0.003741965 0.0033579175
136 360.40000000000003 360.2 3.26124 0.82209 4.01913 1.54995 0.0037194224999999997 0.0033459575
137 363.0 362.90000000000003 3.26017 0.82119 4.0214 1.55266 0.0036974675 0.00333209
138 365.6 365.5 3.2591 0.82029 4.02365 1.5554 0.0036762575000000002 0.0033184475
139 368.2 368.2 3.25803 0.8194 4.0259 1.55807 0.0036559675 0.0033064475
140 370.8 370.8 3.25697 0.81851 4.02812 1.56078 0.00363676 0.0032950425
141 373.40000000000003 373.40000000000003 3.25592 0.81761 4.03034 1.56342 0.0036187874999999998 0.0032824525
142 376.2 376.1 3.25487 0.81672 4.03252 1.56608 0.0036021275 0.0032688975
143 378.8 378.7 3.25383 0.81584 4.03471 1.56868 0.0035868025 0.0032559225000000002
144 381.5 381.3 3.2528 0.81495 4.03686 1.57131 0.003572715 0.0032440000000000004
