iteration LSE_center_100000_gamma_time LSE_center_100000_gamma_objective LSE_center_100000_gamma_hpwl LSE_center_100000_gamma_euclidean_norm WA_center_100000_gamma_time WA_center_100000_gamma_objective WA_center_100000_gamma_hpwl WA_center_100000_gamma_euclidean_norm LSE_center_1000_gamma_time LSE_center_1000_gamma_objective LSE_center_1000_gamma_hpwl LSE_center_1000_gamma_euclidean_norm WA_center_1000_gamma_time WA_center_1000_gamma_objective WA_center_1000_gamma_hpwl WA_center_1000_gamma_euclidean_norm
62 1436.9 180.06985 5.27255 0.0287276 1549 4.28819 5.2463 0.033689935 1402.3 6.74064 5.24256 0.057463995 1668.4 5.07464 5.23614 0.06982000499999999
63 1455.2 180.06463 5.27128 0.028507 1568 4.28405 5.24484 0.033465022500000004 1419.7 6.73985 5.24196 0.057044265000000004 1688.8 5.07404 5.23568 0.0693461425
64 1473.5 180.05942 5.27002 0.0282912225 1586.8 4.27993 5.24337 0.0332442 1437.4 6.73906 5.24136 0.056631425 1709.2 5.07343 5.23523 0.06886927
65 1491.7 180.05422 5.26877 0.028080169999999998 1606.2 4.27583 5.2419 0.03302722 1454.8 6.73826 5.24077 0.056226979999999996 1729.6 5.07284 5.23479 0.068367895
66 1509.9 180.04902 5.26749 0.02787373 1625 4.27175 5.24041 0.0328138375 1472.7 6.73748 5.24017 0.05583188 1750.2 5.07224 5.23433 0.0678308375
67 1528.2 180.04384 5.2662 0.027671785 1644.2 4.26769 5.23892 0.032603825 1490.2 6.73669 5.23957 0.05544625 1771.4 5.07163 5.23389 0.0672593825
68 1546.2 180.03866 5.26489 0.0274742075 1663.2 4.26364 5.23742 0.032396970000000004 1507.7 6.7359 5.23897 0.055069497499999995 1791.6 5.07104 5.23345 0.0666639925
69 1564.5 180.0335 5.26358 0.02728086 1681.8 4.25963 5.23592 0.0321930725 1525.5 6.73511 5.23837 0.05470068 1812.8 5.07045 5.23302 0.06606126000000001
70 1582.7 180.02834 5.26224 0.0270916 1701.4 4.25561 5.23441 0.0319919425 1543.1 6.73432 5.23777 0.054338865 1833 5.06986 5.23258 0.0654713175
71 1601.2 180.0232 5.26088 0.026906277500000002 1720 4.25162 5.23291 0.0317934025 1560.7 6.73354 5.23716 0.0539834275 1854.3 5.06927 5.23214 0.06491393499999999
72 1619.6 180.01806 5.25952 0.026724744999999998 1739.3 4.24764 5.23139 0.03159729 1578.7 6.73275 5.23656 0.05363413 1875.9 5.06868 5.23171 0.0644032025
73 1637.2 180.01293 5.25814 0.026546845 1758.2 4.24367 5.22988 0.0314034525 1596.3 6.73197 5.23595 0.0532910175 1897.4 5.0681 5.23127 0.0639431625
74 1655.1 180.00781 5.25674 0.02637242 1777 4.23971 5.22836 0.03121175 1614.1 6.73119 5.23536 0.052954219999999996 1918.2 5.06751 5.23084 0.063527215
75 1672.8 180.00271 5.25535 0.026201315 1796.4 4.23576 5.22684 0.031022055000000003 1631.7 6.7304 5.23475 0.05262372 1938.6 5.06694 5.23042 0.0631422925
76 1690.9 179.99761 5.25394 0.0260333725 1815 4.23184 5.22532 0.030834252500000003 1649.3 6.72962 5.23415 0.052299295 1959.4 5.06636 5.23 0.0627753975
77 1709.5 179.99251 5.25254 0.025868437499999997 1834.4 4.22791 5.2238 0.030648232499999997 1667.1 6.72884 5.23353 0.051980505 1979.8 5.06578 5.22957 0.0624181275
78 1727.8 179.98743 5.25112 0.025706365000000002 1853.2 4.224 5.22228 0.0304639075 1684.7 6.72805 5.23293 0.051666817500000004 2000.4 5.0652 5.22915 0.0620668875
79 1746.3 179.98236 5.24968 0.025546995 1872.2 4.2201 5.22074 0.0302811825 1702.3 6.72728 5.23232 0.051357707499999995 2020.8 5.06464 5.22874 0.0617202925
80 1764.6 179.9773 5.24823 0.02539019 1891.4 4.21619 5.2192 0.030099995 1719.9 6.7265 5.2317 0.0510527525 2041.4 5.06407 5.22832 0.0613772775
81 1782.9 179.97224 5.24678 0.0252358075 1910.2 4.21231 5.21765 0.0299202725 1737.5 6.72572 5.23108 0.050751645000000005 2062 5.0635 5.2279 0.061037730000000005
82 1801 179.96718 5.2453 0.0250837125 1929.6 4.20844 5.21609 0.029741959999999998 1755.3 6.72494 5.23046 0.050454195 2082.2 5.06293 5.22748 0.060703285
83 1818.6 179.96215 5.2438 0.02493378 1948.4 4.20456 5.21454 0.0295650125 1773.1 6.72416 5.22984 0.05016029 2103.2 5.06237 5.22706 0.060375605
84 1835.8 179.95711 5.2423 0.0247858825 1967.6 4.2007 5.21298 0.029389385 1790.4 6.72338 5.22922 0.0498698525 2123.8 5.0618 5.22664 0.060054394999999997
85 1853.4 179.95209 5.24078 0.0246399075 1987.4 4.19686 5.2114 0.029215045 1808.2 6.7226 5.2286 0.04958283 2144.8 5.06123 5.22624 0.059738185
86 1870.4 179.94707 5.23925 0.024495745 2007.4 4.19301 5.20985 0.0290419625 1825.7 6.72182 5.22796 0.04929921 2165.2 5.06067 5.22582 0.059426105
87 1888.2 179.94207 5.23771 0.02435329 2027.4 4.18918 5.20829 0.02887012 1843.2 6.72105 5.22733 0.049019 2186 5.06011 5.2254 0.0591186625
88 1905.8 179.93707 5.23616 0.024212452500000002 2046.2 4.18536 5.20673 0.0286994975 1861 6.72028 5.22669 0.0487422675 2206.4 5.05955 5.22498 0.058817425
89 1923.4 179.93207 5.23461 0.0240731425 2065.8 4.18154 5.20517 0.028530080000000003 1878.4 6.7195 5.22605 0.048469155 2227 5.05898 5.22457 0.0585241075
90 1941.4 179.92708 5.23304 0.02393528 2084.6 4.17773 5.20363 0.02836186 1896.1 6.71872 5.22541 0.048199865 2247.6 5.05843 5.22415 0.0582395325
91 1960.1 179.92212 5.23146 0.023798794999999998 2104.2 4.17394 5.20208 0.02819483 1913.7 6.71795 5.22475 0.0479346525 2268.4 5.05786 5.22373 0.0579631575
92 1978.2 179.91714 5.22988 0.0236636175 2123.2 4.17014 5.20053 0.028028992500000002 1931.1 6.71718 5.22411 0.04767377 2289 5.05731 5.2233 0.0576932125
