iteration LSE_100000_gamma_time LSE_100000_gamma_objective LSE_100000_gamma_hpwl LSE_100000_gamma_euclidean_norm LSE_1000_gamma_time LSE_1000_gamma_objective LSE_1000_gamma_hpwl LSE_1000_gamma_euclidean_norm LSE_10_gamma_time LSE_10_gamma_objective LSE_10_gamma_hpwl LSE_10_gamma_euclidean_norm WA_100000_gamma_time WA_100000_gamma_objective WA_100000_gamma_hpwl WA_100000_gamma_euclidean_norm WA_1000_gamma_time WA_1000_gamma_objective WA_1000_gamma_hpwl WA_1000_gamma_euclidean_norm WA_10_gamma_time WA_10_gamma_objective WA_10_gamma_hpwl WA_10_gamma_euclidean_norm
35 877.0 921.49167 890.25153 1.1865383324999998 1001.7 899.26956 899.2101499999999 1.25784582 905.3 899.29793 899.29793 1.2794971275 988.8 875.40023 897.50017 1.2629750174999999 984.2 899.24321 899.27498 1.275020705 1034.0 899.30088 899.30089 1.27930945
36 894.0 894.12017 862.10375 1.1724083175 1022.5 870.3979300000001 870.33757 1.29500558 921.7 870.43049 870.43048 1.3128127675 1008.2 846.12574 868.7632900000001 1.2968034874999999 1003.9 870.3815500000001 870.41413 1.311352795 1054.2 870.43448 870.4345 1.3160812125
37 912.0 867.65737 834.87405 1.033404045 1043.4 841.75281 841.69127 1.2982344425 938.4000000000001 841.7785299999999 841.77852 1.3219633675 1029.8000000000002 817.06534 840.24946 1.2705779925000003 1023.3 841.73291 841.76632 1.3129585200000002 1074.6 841.7865300000001 841.7865300000001 1.3206278625
38 928.5 842.3851500000001 808.86574 0.89544344 1065.4 813.2997600000001 813.23692 1.2897226725 957.0 813.3380099999999 813.338 1.2761876475 1051.4 788.67224 812.41011 1.1052094200000002 1046.9 813.27563 813.3098500000001 1.264157585 1098.0 813.33577 813.33577 1.2753191275
39 945.3 818.53998 784.34094 0.8850872075 1087.1 785.93977 785.87554 1.1349498775 973.5 786.4910600000001 786.4910600000001 1.026121635 1071.4 761.63867 785.93588 0.9690605325 1066.0 786.426 786.4578799999999 1.0093309725 1118.0 786.48948 786.4894899999999 1.02643574
40 961.9000000000001 796.08485 761.26318 0.8793273725 1107.6 759.87532 759.80795 0.9926514625 989.8 760.7411199999999 760.7411099999999 1.0187913525 1090.6 736.05525 760.90782 0.967677735 1085.8000000000002 760.6785600000001 760.70704 1.002057255 1138.1 760.74411 760.74411 1.01932319
41 978.7 774.73858 739.3382 0.8661969974999999 1127.7 735.41138 735.34277 0.9951826799999999 1006.1 736.91847 736.91846 1.0318294399999999 1110.6 712.1728 737.56635 0.9824935575 1105.1999999999998 736.85667 736.8857 1.01390274 1159.0 736.92207 736.92208 1.0333609824999999
42 995.3 754.38729 718.42103 0.8640032 1148.4 712.4832100000001 712.41396 0.9991856474999999 1022.4000000000001 714.3414700000001 714.3414700000001 1.0233587975 1130.0 689.5106900000001 715.42683 0.97919308 1124.8000000000002 714.28159 714.31134 1.003779475 1180.0 714.34627 714.34628 1.0239667625
43 1012.0999999999999 734.9648 698.45723 0.8525217050000001 1169.4 690.7295799999999 690.6597099999999 0.99181817 1038.5 692.84726 692.84726 1.0207262575 1149.8 667.91822 694.33701 0.9663400950000001 1144.4 692.78505 692.81573 1.0014369825 1200.9 692.84887 692.84888 1.020920045
44 1028.8 716.36174 679.31029 0.85237319 1190.1999999999998 669.95325 669.8832 0.99249713 1055.0 672.3050000000001 672.30499 1.0221665875000001 1169.4 647.24691 674.15071 0.9793737425 1164.1999999999998 672.24456 672.2759 1.00207737 1221.6 672.30803 672.30804 1.0221568475
